equihash_params,miners,sol_per_sec,target_spacing,propagation_delay,pow_profile,seed,mean,p10,p50,p90,p99,orphans,orphan_rate,efficiency,convergence_height
common,10,2.992480350,75,0.500000,mainnet,85,137.013292,14.427049,93.346653,316.270087,620.788826,32,0.003200000,0.996810207,291
common,10,2.992480350,75,0.500000,mainnet,86,137.487425,14.587702,94.840199,318.443519,631.560663,34,0.003400000,0.996611521,17
common,10,2.992480350,75,0.500000,mainnet,87,136.259771,14.268081,94.868439,310.731018,604.836931,52,0.005200000,0.994826900,349
common,10,2.992480350,75,0.500000,mainnet,88,134.492771,14.976801,95.891883,306.985813,607.308621,29,0.002900000,0.997108386,136
common,10,2.992480350,75,0.500000,mainnet,89,137.289558,14.533919,94.483851,320.877918,642.070597,41,0.004100000,0.995916741,82
common,10,2.992480350,75,0.500000,mainnet,90,137.986881,14.747279,95.042064,323.288674,641.601668,29,0.002900000,0.997108386,20
common,10,2.992480350,75,0.500000,mainnet,91,135.857724,13.943623,93.389339,318.426138,632.311688,26,0.002600000,0.997406742,17
common,10,2.992480350,75,0.500000,mainnet,92,135.536643,14.118398,91.632721,315.927041,632.159723,28,0.002800000,0.997207818,17
common,10,2.992480350,75,0.500000,mainnet,93,133.613365,13.990992,91.488871,306.085120,641.391724,34,0.003400000,0.996611521,45
common,10,2.992480350,75,0.500000,mainnet,94,138.309501,15.017211,95.842363,317.582908,619.868114,37,0.003700000,0.996313640,770
common,10,2.992480350,75,0.500000,mainnet,95,137.293521,14.590648,96.844293,315.440325,629.981531,28,0.002800000,0.997207818,394
common,10,2.992480350,75,0.500000,mainnet,96,137.635087,13.832923,94.158428,318.556262,635.745050,29,0.002900000,0.997108386,52
common,10,2.992480350,75,0.500000,mainnet,97,137.098582,14.152823,97.349839,316.720034,620.496337,31,0.003100000,0.996909580,102
common,10,2.992480350,75,0.500000,mainnet,98,136.915227,14.088648,95.867737,313.796371,616.468284,32,0.003200000,0.996810207,291
common,10,2.992480350,75,0.500000,mainnet,99,137.867862,14.008085,93.607563,324.173456,649.129237,36,0.003600000,0.996412914,342
common,10,2.992480350,75,0.500000,mainnet,100,137.530875,14.789725,94.812787,314.993864,652.588595,23,0.002300000,0.997705278,140
common,10,2.992480350,75,1.000000,mainnet,1,137.794673,14.489731,94.490957,316.031756,630.872454,62,0.006200000,0.993838203,146
common,10,2.992480350,75,1.000000,mainnet,2,136.212102,14.292836,92.890701,316.127537,624.847648,61,0.006100000,0.993936984,102
common,10,2.992480350,75,1.000000,mainnet,3,136.461285,14.402474,96.097146,314.163271,591.719339,58,0.005800000,0.994233446,56
common,10,2.992480350,75,1.000000,mainnet,4,135.927998,14.816177,95.743219,311.628306,599.697919,77,0.007700000,0.992358837,72
common,10,2.992480350,75,1.000000,mainnet,5,139.188719,14.237571,96.164960,316.985364,638.550672,65,0.006500000,0.993541977,157
common,10,2.992480350,75,1.000000,mainnet,6,136.158620,14.207388,93.723836,315.570975,611.539595,60,0.006000000,0.994035785,332
common,10,2.992480350,75,1.000000,mainnet,7,137.354856,15.012814,95.695884,315.953419,632.196197,56,0.005600000,0.994431185,36
common,10,2.992480350,75,1.000000,mainnet,8,135.844862,14.198337,95.296343,309.261874,623.394498,58,0.005800000,0.994233446,221
common,10,2.992480350,75,1.000000,mainnet,9,136.719504,14.783742,91.542503,319.262799,638.026080,69,0.006900000,0.993147284,40
common,10,2.992480350,75,1.000000,mainnet,10,136.487053,13.804962,94.313262,313.823162,634.017730,60,0.006000000,0.994035785,55
common,10,2.992480350,75,1.000000,mainnet,11,136.385708,14.673899,93.683456,313.294048,639.735966,75,0.007500000,0.992555831,104
common,10,2.992480350,75,1.000000,mainnet,12,138.188344,14.195560,95.098089,322.302511,623.059997,61,0.006100000,0.993936984,166
common,10,2.992480350,75,1.000000,mainnet,13,134.257434,13.986921,93.365248,309.204799,613.455461,65,0.006500000,0.993541977,108
common,10,2.992480350,75,1.000000,mainnet,14,137.007538,14.832389,96.955370,314.741866,632.284342,56,0.005600000,0.994431185,112
common,10,2.992480350,75,1.000000,mainnet,15,136.487243,14.968939,94.164891,311.399108,628.923120,82,0.008200000,0.991866693,30
common,10,2.992480350,75,1.000000,mainnet,16,136.192186,14.379784,96.038587,315.885338,623.442083,68,0.006800000,0.993245928,145
common,10,2.992480350,75,1.000000,mainnet,17,136.289258,14.297802,95.266488,311.291678,629.968849,76,0.007600000,0.992457324,254
common,10,2.992480350,75,1.000000,mainnet,18,138.234523,14.213585,96.151915,320.383063,643.003980,56,0.005600000,0.994431185,298
common,10,2.992480350,75,1.000000,mainnet,19,138.216594,14.947592,95.942007,319.229760,633.646489,62,0.006200000,0.993838203,158
common,10,2.992480350,75,1.000000,mainnet,20,137.546404,14.948724,96.145955,310.660954,618.872552,59,0.005900000,0.994134606,163
common,10,2.992480350,75,1.000000,mainnet,21,135.614903,13.766459,94.554663,310.195189,610.690698,76,0.007600000,0.992457324,352
common,10,2.992480350,75,1.000000,mainnet,22,135.526399,14.806834,93.265513,314.310807,621.568654,66,0.006600000,0.993443274,114
common,10,2.992480350,75,1.000000,mainnet,23,138.024465,15.490422,96.414217,316.800255,648.178280,50,0.005000000,0.995024876,118
common,10,2.992480350,75,1.000000,mainnet,24,137.517138,14.434234,95.339137,317.104370,628.339990,67,0.006700000,0.993344591,173
common,10,2.992480350,75,1.000000,mainnet,25,135.842362,14.042444,94.215720,311.409145,609.280238,60,0.006000000,0.994035785,206
common,10,2.992480350,75,1.000000,mainnet,26,137.559822,14.808757,94.831783,318.303751,613.331904,51,0.005100000,0.994925878,767
common,10,2.992480350,75,1.000000,mainnet,27,136.974305,14.035849,95.088672,315.353180,625.572004,64,0.006400000,0.993640700,20
common,10,2.992480350,75,1.000000,mainnet,28,137.597261,14.163482,94.830767,320.682116,625.707254,61,0.006100000,0.993936984,401
common,10,2.992480350,75,1.000000,mainnet,29,136.966034,14.560425,95.385847,318.289363,618.817883,63,0.006300000,0.993739442,134
common,10,2.992480350,75,1.000000,mainnet,30,140.382523,14.691286,97.973484,320.522384,636.238457,56,0.005600000,0.994431185,218
common,10,2.992480350,75,1.000000,mainnet,31,137.080494,14.366267,94.012062,323.248323,646.283675,74,0.007400000,0.992654358,102
common,10,2.992480350,75,1.000000,mainnet,32,134.949531,13.921093,93.405110,312.872196,601.930624,65,0.006500000,0.993541977,208
common,10,2.992480350,75,1.000000,mainnet,33,136.476373,15.013279,93.570440,314.811640,620.866766,57,0.005700000,0.994332306,17
common,10,2.992480350,75,1.000000,mainnet,34,134.675685,14.259861,93.525211,307.593627,625.143240,62,0.006200000,0.993838203,82
common,10,2.992480350,75,1.000000,mainnet,35,137.854012,14.756007,96.895870,313.795365,638.078953,69,0.006900000,0.993147284,24
common,10,2.992480350,75,1.000000,mainnet,36,133.734653,14.089959,92.263480,306.301692,625.331318,61,0.006100000,0.993936984,223
common,10,2.992480350,75,1.000000,mainnet,37,136.871889,14.438482,93.634467,313.236377,625.216982,58,0.005800000,0.994233446,106
common,10,2.992480350,75,1.000000,mainnet,38,137.004319,13.711484,94.463106,320.160222,623.585213,53,0.005300000,0.994727942,140
common,10,2.992480350,75,1.000000,mainnet,39,137.812351,14.932764,95.773601,318.658643,622.513259,63,0.006300000,0.993739442,351
common,10,2.992480350,75,1.000000,mainnet,40,138.950249,14.973207,97.205096,315.323573,641.313617,71,0.007100000,0.992950055,294
common,10,2.992480350,75,1.000000,mainnet,41,136.172713,14.679418,95.156087,308.669555,656.007855,67,0.006700000,0.993344591,43
common,10,2.992480350,75,1.000000,mainnet,42,138.471891,15.047431,95.652118,316.223341,640.572749,74,0.007400000,0.992654358,17
common,10,2.992480350,75,1.000000,mainnet,43,135.939020,14.421747,95.178546,315.533273,606.768115,62,0.006200000,0.993838203,56
common,10,2.992480350,75,1.000000,mainnet,44,137.706802,14.819074,96.244313,316.641792,633.965478,56,0.005600000,0.994431185,511
common,10,2.992480350,75,1.000000,mainnet,45,136.726458,14.181297,93.926370,321.784657,643.410113,74,0.007400000,0.992654358,27
common,10,2.992480350,75,1.000000,mainnet,46,137.168223,13.914836,94.572569,316.200675,648.024569,76,0.007600000,0.992457324,180
common,10,2.992480350,75,1.000000,mainnet,47,136.655052,14.481906,93.270224,318.259135,635.010848,80,0.008000000,0.992063492,373
common,10,2.992480350,75,1.000000,mainnet,48,137.608336,14.551038,95.044903,316.494142,630.501510,79,0.007900000,0.992161921,50
common,10,2.992480350,75,1.000000,mainnet,49,140.318431,14.967531,98.005314,321.700659,645.986401,63,0.006300000,0.993739442,73
common,10,2.992480350,75,1.000000,mainnet,50,137.102844,13.972689,93.397185,319.580748,630.079555,75,0.007500000,0.992555831,145
common,10,2.992480350,75,1.000000,mainnet,51,137.119988,14.695673,94.149961,314.291654,655.197553,80,0.008000000,0.992063492,54
common,10,2.992480350,75,1.000000,mainnet,52,135.390198,14.397797,92.794848,311.826464,631.922709,62,0.006200000,0.993838203,98
common,10,2.992480350,75,1.000000,mainnet,53,137.780407,14.479502,94.654918,318.652492,639.405398,69,0.006900000,0.993147284,301
common,10,2.992480350,75,1.000000,mainnet,54,137.798102,14.325719,96.204306,313.110393,648.178924,66,0.006600000,0.993443274,190
common,10,2.992480350,75,1.000000,mainnet,55,137.346158,14.522341,96.597973,312.028429,645.939105,78,0.007800000,0.992260369,67
common,10,2.992480350,75,1.000000,mainnet,56,138.353720,14.894253,96.314442,320.359862,626.210062,65,0.006500000,0.993541977,134
common,10,2.992480350,75,1.000000,mainnet,57,137.688088,15.443737,95.484247,319.029200,630.620633,70,0.007000000,0.993048659,191
common,10,2.992480350,75,1.000000,mainnet,58,136.733859,14.806511,94.998530,316.963780,629.124270,67,0.006700000,0.993344591,20
common,10,2.992480350,75,1.000000,mainnet,59,135.197805,14.028890,94.251274,306.940341,630.835925,76,0.007600000,0.992457324,406
common,10,2.992480350,75,1.000000,mainnet,60,137.543350,15.143740,94.880064,321.439747,607.507165,59,0.005900000,0.994134606,154
common,10,2.992480350,75,1.000000,mainnet,61,137.500216,15.505334,95.638986,319.045904,614.230722,59,0.005900000,0.994134606,38
common,10,2.992480350,75,1.000000,mainnet,62,136.685761,14.732482,96.581685,311.008265,629.125390,65,0.006500000,0.993541977,20
common,10,2.992480350,75,1.000000,mainnet,63,135.981148,13.857740,94.463339,311.497935,618.199314,68,0.006800000,0.993245928,50
common,10,2.992480350,75,1.000000,mainnet,64,137.439426,14.333445,95.997643,313.809211,631.483047,58,0.005800000,0.994233446,134
common,10,2.992480350,75,1.000000,mainnet,65,135.760221,14.054933,93.301104,311.017001,644.960404,63,0.006300000,0.993739442,98
common,10,2.992480350,75,1.000000,mainnet,66,137.162253,14.732450,94.950193,317.979657,620.262416,68,0.006800000,0.993245928,17
common,10,2.992480350,75,1.000000,mainnet,67,138.698436,14.188037,95.567317,317.411970,642.750240,70,0.007000000,0.993048659,17
common,10,2.992480350,75,1.000000,mainnet,68,138.995366,15.032528,96.804242,324.249872,629.749708,63,0.006300000,0.993739442,179
common,10,2.992480350,75,1.000000,mainnet,69,137.618169,14.399127,96.398361,319.785538,632.020114,73,0.007300000,0.992752904,368
common,10,2.992480350,75,1.000000,mainnet,70,138.039405,14.734270,92.746188,319.641788,656.988033,55,0.005500000,0.994530085,199
common,10,2.992480350,75,1.000000,mainnet,71,137.251383,14.277113,93.608510,319.420104,631.921536,72,0.007200000,0.992851469,18
common,10,2.992480350,75,1.000000,mainnet,72,135.401339,14.068769,93.424263,315.372419,616.094267,66,0.006600000,0.993443274,343
common,10,2.992480350,75,1.000000,mainnet,73,138.212656,14.685482,95.332277,313.389918,642.151400,71,0.007100000,0.992950055,57
common,10,2.992480350,75,1.000000,mainnet,74,138.377001,15.316664,95.020300,320.680351,643.738270,68,0.006800000,0.993245928,66
common,10,2.992480350,75,1.000000,mainnet,75,138.171431,14.075329,94.402702,315.414568,664.372360,62,0.006200000,0.993838203,214
common,10,2.992480350,75,1.000000,mainnet,76,136.624400,14.909693,93.608784,315.338631,622.819569,60,0.006000000,0.994035785,129
common,10,2.992480350,75,1.000000,mainnet,77,136.739354,13.765018,95.121389,315.215390,621.731552,74,0.007400000,0.992654358,80
common,10,2.992480350,75,1.000000,mainnet,78,135.470590,13.887242,94.616344,310.840749,620.549865,58,0.005800000,0.994233446,117
common,10,2.992480350,75,1.000000,mainnet,79,138.847911,15.264379,97.478824,317.492844,638.759564,70,0.007000000,0.993048659,23
common,10,2.992480350,75,1.000000,mainnet,80,137.727777,14.329388,94.552905,320.607928,654.010338,72,0.007200000,0.992851469,41
common,10,2.992480350,75,1.000000,mainnet,81,138.974580,14.571491,98.016617,315.569091,655.779375,74,0.007400000,0.992654358,25
common,10,2.992480350,75,1.000000,mainnet,82,137.633833,14.901623,95.093336,320.090263,631.176557,67,0.006700000,0.993344591,94
common,10,2.992480350,75,1.000000,mainnet,83,138.524748,14.759403,96.380094,319.109565,621.286629,89,0.008900000,0.991178511,1269
common,10,2.992480350,75,1.000000,mainnet,84,138.045152,13.902823,95.617658,317.378300,638.307373,62,0.006200000,0.993838203,40
common,10,2.992480350,75,1.000000,mainnet,85,138.124082,14.513580,94.677876,318.172821,625.869565,67,0.006700000,0.993344591,291
common,10,2.992480350,75,1.000000,mainnet,86,137.288516,14.261129,94.994341,318.443519,620.633859,69,0.006900000,0.993147284,17
common,10,2.992480350,75,1.000000,mainnet,87,136.724964,14.200878,94.578706,312.384422,618.297888,86,0.008600000,0.991473329,349
common,10,2.992480350,75,1.000000,mainnet,88,134.919508,14.782963,95.429179,310.276603,609.164836,64,0.006400000,0.993640700,136
common,10,2.992480350,75,1.000000,mainnet,89,137.188780,14.721013,94.570098,322.441170,631.997520,87,0.008700000,0.991375037,82
common,10,2.992480350,75,1.000000,mainnet,90,137.483630,14.755266,95.320117,318.623288,642.309805,68,0.006800000,0.993245928,20
common,10,2.992480350,75,1.000000,mainnet,91,136.536591,13.855162,94.452748,318.145292,630.074377,65,0.006500000,0.993541977,17
common,10,2.992480350,75,1.000000,mainnet,92,135.337695,14.164312,92.185905,316.423102,625.409757,57,0.005700000,0.994332306,17
common,10,2.992480350,75,1.000000,mainnet,93,133.777169,14.234582,91.488871,306.018622,643.249598,60,0.006000000,0.994035785,45
common,10,2.992480350,75,1.000000,mainnet,94,139.148129,15.216064,96.842007,320.083417,619.901707,65,0.006500000,0.993541977,767
common,10,2.992480350,75,1.000000,mainnet,95,137.865036,14.651480,97.042584,317.328426,632.530000,54,0.005400000,0.994629003,394
common,10,2.992480350,75,1.000000,mainnet,96,137.389415,13.578719,94.102109,318.513013,631.175179,47,0.004700000,0.995321987,52
common,10,2.992480350,75,1.000000,mainnet,97,136.737974,14.345034,96.529937,316.720034,623.786557,61,0.006100000,0.993936984,101
common,10,2.992480350,75,1.000000,mainnet,98,136.536889,14.375499,95.560253,312.998525,617.782373,70,0.007000000,0.993048659,291
common,10,2.992480350,75,1.000000,mainnet,99,136.826682,14.229545,92.638926,321.560694,646.457674,74,0.007400000,0.992654358,342
common,10,2.992480350,75,1.000000,mainnet,100,136.874399,14.715980,94.334094,314.123027,641.466700,62,0.006200000,0.993838203,240
common,10,2.992480350,75,2.000000,mainnet,1,137.064316,14.549517,95.790900,312.148477,628.726224,129,0.012900000,0.987264291,102
common,10,2.992480350,75,2.000000,mainnet,2,136.324188,14.335318,94.106527,314.881063,623.717747,117,0.011700000,0.988435307,101
common,10,2.992480350,75,2.000000,mainnet,3,136.926658,14.324500,96.171716,314.046138,597.882698,124,0.012400000,0.987751877,94
common,10,2.992480350,75,2.000000,mainnet,4,136.508658,15.004158,94.722285,314.796307,609.372770,123,0.012300000,0.987849452,72
common,10,2.992480350,75,2.000000,mainnet,5,139.198549,14.241439,96.937791,317.513521,629.555280,136,0.013600000,0.986582478,157
common,10,2.992480350,75,2.000000,mainnet,6,136.544395,14.044642,93.103108,317.853139,616.956191,132,0.013200000,0.986971970,332
common,10,2.992480350,75,2.000000,mainnet,7,137.805148,14.837272,96.577860,316.333306,625.373430,131,0.013100000,0.987069391,36
common,10,2.992480350,75,2.000000,mainnet,8,136.079661,13.938370,96.404899,310.085026,624.543115,134,0.013400000,0.986777186,220
common,10,2.992480350,75,2.000000,mainnet,9,135.873163,14.506760,91.514673,318.572679,617.125776,133,0.013300000,0.986874568,40
common,10,2.992480350,75,2.000000,mainnet,10,137.367669,14.508760,95.711290,318.086952,628.678369,129,0.012900000,0.987264291,103
common,10,2.992480350,75,2.000000,mainnet,11,136.587694,14.655782,93.882338,314.371194,641.575278,139,0.013900000,0.986290561,104
